,content,tokens_final,cluster,action_cluster
128,고런걸 B2B2C라고 협업회사 대상 복지몰에 납품하는건데 선택지가 적어서 그렇지 좋습니다! 지인중에 복지몰로만 혼수 장만한 친구가 있어요 ㅋㅋ,"['협업', '회사', '대상', '복지', '납품', '선택지', '적다', '좋다', '지인', '복지', '혼수', '장만', '친구']",4,1
129,저도 신혼때 첨이자마지막?으로 나름vip회원한번해봤었네요 ㅎ 좋은정보감사합니다,"['신혼', '마지막', '회원', '좋다', '정보', '감사']",4,3
130,궁금한게 매장에서 가계약을 걸고 나오면 타매장에서 얼마에 가계약을 걸었는지 알수있나요?,"['궁금하다', '매장', '계약', '걸다', '나오다', '매장', '얼마', '계약', '걸다']",4,3
131,넵 B2E랑 B2B2C는 있는데 B2B가 없어요 ㅜ B2B가 찐 영업이죠,"['찌다', '영업']",4,4
132,원가가얼마길래 판매가격측정후 저만큼할인을해줄까?,"['원가', '얼마', '판매', '가격', '측정', '할인']",4,1
133,아구 딸결혼할때 이사실을 알았더라면ㅜㅜ,['결혼'],4,1
134,유통채널은 마진이 딸려서 적자 보면서 장사들 많이 한대요 ㅜ,"['유통', '채널', '마진', '딸리다', '적자', '장사']",4,3
135,-IT제품리뷰 답변 감사합니다 :) 이유좀 알수있나요?,"['제품', '리뷰', '답변', '감사', '이유']",4,3
136,ㅋㅋ 일단 구독해주셔서 감사해요 놓치지 않을꺼에요,"['구독', '감사', '놓치다']",4,3
137,모델이 너무 한정적이라 그리 선호하지는 않아요 ㅜ,"['모델', '한정', '선호']",4,2
138,-IT제품리뷰 네 답변 감사드립니다^^,"['제품', '리뷰', '답변', '감사', '드리다']",4,3
139,#NAME?,"['제품', '리뷰', '전자', '제품', '구매', '백화점', '온라인']",4,2
140,감사합니다 ㅋㅋ 이모티콘은 잘 못 쓰신거 아니시죠? ㅎㅎ,"['감사', '이모티콘', '쓰다']",4,1
141,ㅎㅎ 4k 중에 제일 싼거 사세요 ㅎㅎ 집에서 보면 크게 차이 안나는 거 같아요,"['싸다', '사다', '크다', '차이']",4,2
142,이해가 잘가네요. 근데 이영상과 관련없는질문인데요. 만약직원이 고객에 무엇가팔면. 무엇가 떨어지나요? 예를들어 금액 몇프로? 아니면 그냥월급쟁이?,"['이해', '영상', '질문', '만약', '직원', '고객', '팔다', '떨어지다', '들다', '금액', '월급']",4,4
143,VIP 승격하고 유지하는 기간이 있습니다.,"['승격', '유지', '기간']",4,4
144,다른지역 오픈매장 가서 구매하는건 어떤가요? 전 혼수할때 오픈매장만 인근지역 3군대 가보고 결정했는데.... 사놓고도 저렴하게 산건지 안산건지 아리까리함요...~_~;; 그리고 혼수일때 무조건 밝히는게 맞는건지도 애매해요.. 밝혔을때랑 아닐때랑 차이도 좀 있다고 느꼈어요... 혼수라고 이야기 하면 대부분 고가의 최상급 옵션 제품들을 자꾸 어필하는게 조금 느껴지더라구요 ㅋ,"['지역', '오픈', '매장', '구매', '혼수', '오픈', '매장', '인근', '지역', '군대', '결정', '사다', '저렴하다', '사다', '사다', '아리까리함', '혼수', '밝히다', '맞다', '밝히다', '차이', '혼수', '이야기', '부분', '고가', '상급', '옵션', '제품', '어필']",4,2
145,#NAME?,"['제품', '리뷰', '그렇쿤요', '말씀', '제품', '이상', '청소기', '밥솥', '포함']",4,4
146,#NAME?,"['제품', '리뷰', '감사']",4,3
147,보통 한도가 1500인데 혼수나 이사시 한도제한 없이 살 수 있는걸로 알아요,"['보통', '한도', '혼수', '이사', '한도', '제한', '살다']",4,4
148,어딘지는 안알려줌 우리동네는 2년된상품을 신상품이라고 속이던데,"['알리다', '동네', '상품', '상품', '속이다']",4,1
149,구매전략 대기업 다니는 지인 찬스를써라 심한건 70프로싸게도 구매할수있다,"['구매', '전략', '기업', '다니다', '지인', '찬스', '쓰다', '심하다', '싸다', '구매']",4,2
150,결론 하이마트 직영점은 거르는겁니다~!,"['결론', '하이마트', '직영점', '거르다']",4,2
151,#NAME?,"['제품', '리뷰', '세금', '계산서', '발행', '할인', '동일']",4,2
152,좋아요 근데 제품이 한정적이라서 좀 아쉽습니다,"['좋다', '제품', '한정']",4,2
153,이야 설명 딱 듣고싶은것만 얘기하시네요.,"['설명', '얘기']",4,4
154,제가 이번 이사준비 하는데. 알아본 내용과 정확히 일치하네요. 잘 봤어요.,"['이사', '준비', '알아보다', '내용', '일치']",4,1
155,이거 궁금하네요~ 1년 지나도 무방할까요? 작성자님 댓글주세요~,"['궁금하다', '지나다', '작성', '댓글']",4,2
156,1년 지난 제품은 어떡해 사나요? 2024년에 2023제품을 사라는 말씀이신가요?,"['지나다', '제품', '살다', '제품', '사다', '말씀']",4,2
157,그런 경우가 있을 수도 있는데 대부분은 그러기 힘들어요 ㅜ,"['부분', '그러다', '힘들다']",4,2
158,배송비는 안드는데 비행기 값이 더 들겠어요 ... ㅎㅎ,"['배송비', '비행기', '들다']",4,2
159,#NAME?,"['제품', '리뷰', '한도']",4,4
160,저 이사땜에 알아보던중 너무 좋은 영상을 만났어요. 고맙습니다❤,"['이사', '알아보다', '좋다', '영상', '만나다']",4,1
161,참고 하고 다음영상에서 다뤄보겠습니다!,"['참고', '다음', '영상', '다루다']",4,4
162,아니요~ 오래전에 다 일해본 경험으로 말씀드린거에요~,"['경험', '말씀', '드리다']",4,3
163,상조..ㅎㅎ 장점은 있어요...근데 뜬금없긴하죠,"['상조', '장점', '뜬금없다']",4,4
164,혼수 4퍼 할인이면 무슨 증명을 요구하나요?,"['혼수', '할인', '증명', '요구']",4,1
165,청첩장 혹은 결혼식장 계약서입니다~!,"['청첩장', '결혼식장', '계약서']",4,1
166,이거 좋은 팁이죠 근데 아는 사람을 찾기 힘든게 문제..,"['좋다', '사람', '찾다', '힘들다', '문제']",4,4
167,개같은 방사능 오염광고를 하고 있네~,"['방사능', '오염', '광고']",4,2
168,비슷해요~ 신혼부부할인은 청첩장이나 웨딩홀 계약서면 됩니다 ㅎㅎ,"['신혼', '부부', '할인', '청첩장', '웨딩', '계약서']",4,1
169,백번 지당하신 말씀 무조건 싼게 좋은건 아니지만 나에게 맞는 걸 저렴하게 구매하는게 중요하죠 ㅎㅎ,"['말씀', '싸다', '좋다', '맞다', '저렴하다', '구매', '중요']",4,2
170,결혼할때 백화점에서 삿음.. 첨엔 백화점이 비싸다는 생각을가졋는데 현금캐쉬백 상품권 등등 다른데보다 훨 좋앗음,"['결혼', '백화점', '사다', '백화점', '비싸다', '생각', '가지다', '현금', '캐쉬', '상품', '좋다']",4,1
171,이런 팁들은.. 다 시간을 갔다 버리는 팁들이네... 난 내시간이 더 비싸서.. 바로 삼.,"['시간', '버리다', '시간', '비싸다', '사다']",4,4
172,조목조목 알아듣기 쉽게 설명해주시네요. 굿,"['설명', '좋다']",4,1
173,ㅎㅎ 이걸로 사업하나를 해야 할까요 ㅎㅎ,['사업'],4,2
174,"백화점은 비싼곳이라 다녀본적이 없는데, 혼수때 백화점가서 아..밷화점도 현명하게 이용하면 비싸기만한 곳이 아니구나? 알게되더라구요. 혼수라면 백화점 견적을 가지고 여기저기 다 다녀봐도 백화점 견적 못따라갑니다. 택도 없어요. 명함도 못내밀던데요... 저도 생애 처음이자 마지막 vip를 혼수때 했네요ㅎㅎ 그런데 23년도부터 백화점 vip혜택이 줄어들어서 혜택이 어떤지 확인해보세요~ 오픈백화점이 있다면 다른거 다 제끼고 달려가세요 ㅎㅎ 그리고 오픈집은 판매하시는분에게 조금만 잘 말해도 해줄꺼 다 해주십니다.","['백화점', '비싸다', '다니다', '혼수', '백화점', '밷화', '현명', '비싸다', '혼수', '백화점', '견적', '가지다', '여기저기', '다니다', '백화점', '견적', '따라가다', '명함', '내밀', '생애', '마지막', '혼수', '백화점', '혜택', '줄어들다', '혜택', '확인', '오픈', '백화점', '제끼다', '달려가다', '오픈', '판매']",4,1
175,-s5g VIP 또 할 수 있을꺼에요! 발렛 받는 그날을 위해!,"['그날', '위하다']",4,1
176,#NAME?,"['개인', '대리점', '가능']",4,1
177,성지라는곳이 어디인가요..저도 이제 혼수를해야하는데 너무 정보가없어서요ㅜ,"['성지', '혼수', '정보']",4,1
178,-q6d 개인대리점 말씀하시는것 같아요~,"['개인', '대리점', '말씀']",4,1
179,한국식 교육 일타강사같네요 저도 강사출신이라 ㅋㅋ 제눈에만 그런걸수도. 이해 잘됐어요 감사합니다 혼수 할인이 있군요. 혹시 결혼 안해도 혼수라고 하면 안되나요...^^;;;,"['한국', '식', '교육', '강사', '강사', '출신', '이해', '감사', '혼수', '할인', '결혼', '혼수']",4,4
180,에이~다 알아보시고 북가좌점 가셨어야지요ㅎㅎ 비싸게 사셨내여ㅎㅎ,"['북가좌점', '비싸다', '사다', '내다']",4,4
181,#NAME?,['소문'],4,3
182,다행입니다ㅎㅎ 행복한 신혼 보내고 계시죠?,"['다행', '행복', '신혼', '보내다']",4,3
