,content,tokens_final,cluster,action_cluster
38,"개인적으로 전 모델을 추천드리지 않습니다. 왜냐면 제조사는 새로운 모델이 출시되지 않으면 이전모델을 제조하지 않으며, 그럼에도 불구하고 이전모델이 온라인에서 팔고 있으면 판매가 오랫동안 안되고 오랜시간 재고로 가지거 있던 제품일 확률이 높습니다. 아닌 경우는 인기모델이라 다시 재생산을 한 제품일텐데 그런 제품을 만나보긴 어려울 것입니다. 그나저나 다품을 사면 좋은게 각 제품의 영업이익을 포기해서 큰 할인을 만들기 때문이라 비씨지도 않습니다.","['개인', '모델', '추천', '드리다', '제조사', '모델', '출시', '이전', '모델', '제조', '이전', '모델', '온라인', '팔다', '판매', '오랫동안', '시간', '재다', '가지다', '제품', '확률', '높다', '인기', '모델', '생산', '제품', '제품', '만나다', '사다', '좋다', '제품', '영업', '이익', '포기', '크다', '할인', '만들다', '비씨']",1,2
39,"-IT제품리뷰 한가지 궁금한게 있습니다. 각 지점, 오프, 온라인으로 들어가는 제픔 모델명이 전부 다른데.. 같은 제품이더라도 모델명에 따른 가격차이도 천차만별이고..(아마 홈플에서 알려준 모델명과 온라인에서 판매하는 모델명이 다를텐데요) 이런 경우는 어떻게 차이를 두고 구매를 해야 합리적인건가요?","['제품', '리뷰', '지점', '오프', '온라인', '들어가다', '제프', '모델명', '다르다', '제품', '모델명', '따르다', '가격', '차이', '천차만별', '홈플', '알리다', '모델명', '온라인', '판매', '모델명', '다르다', '차이', '두다', '구매', '합리']",1,2
40,백화점 물건이라 다조흔것은 아니예요 저도 몇가지 제품을 싸봤는데 제붐도 수명이 긴 제품이 있어요,"['백화점', '물건', '제품', '싸다', '수명', '길다', '제품']",1,1
41,감사합니다! 모델명이 같으면 완벽하게 같은 제품입니다. 채널마다 모델이 다르다는 것은 각 채널 특성에 맞는 전용제품이 있기 때문에 생긴 말,"['감사', '모델명', '완벽', '제품', '채널', '모델', '다르다', '채널', '특성', '맞다', '전용', '제품', '생기다']",1,2
42,나는 딱 제품모델 찍어서 물어보면 그냥. 인터넷서 구매하시고 끊어버림 목아프게. 설명하면 다 인터넷사버리니까 그냥 인터넷모델 물어보면 다 품절이라고 상대 안함,"['제품', '모델', '찍다', '인터넷', '구매', '끊다', '아프다', '설명', '인터넷', '사다', '인터넷', '모델', '물어보다', '품절', '상대']",1,1
43,안그래도 내년에 이사후 투인원 에어컨과 타워형 청소기 구매 예정이라 어디가서 사야하나 고민중이었는데 알고리즘이 제 머리속을 들여다봤나봅니다. 너무나 감사해요^^ 에어컨은 무조건 휘센이었는데 이번 디자인이 너무 맘에 안들어서 무풍으로 갈아타야 하나 새로운 걱정이 늘었네요ㅠ.ㅠ,"['내년', '이사', '인원', '에어컨', '타워', '청소기', '구매', '예정', '사다', '고민', '알고리즘', '머리', '들여다보다', '감사', '에어컨', '휘센', '디자인', '들다', '갈아타다', '걱정', '늘다']",1,3
44,"​ -IT제품리뷰 아핫 ㅎㅎ 어찌댓건 다품목은 오프라인, 소품목은 온라인. 큰 대전제에 대해 많은분들이 좋은 정보 얻어가실 영상같습니다 좋은영상 감사해요","['제품', '리뷰', '품목', '오프라인', '품목', '온라인', '크다', '전제', '대하다', '많다', '좋다', '정보', '영상', '좋다', '영상', '감사']",1,2
45,중소제품 사용하시다 보면 소프트웨어+ 인공지능 장치 수준이 낮아서 버벅 거리기는 합니다. 가격대비 성능이 좋은 제품은 있으나 가격이 좋은 프리미엄 제품은 없어요.,"['중소', '제품', '소프트웨어', '인공', '지능', '장치', '수준', '낮다', '버벅', '거리', '가격', '대비', '성능', '좋다', '제품', '가격', '좋다', '프리미엄', '제품']",1,2
46,저 댓글 거의 안 남기는데 깔끔하게 설명 잘 해주셔서 너무 유용한 영상입니다! 온라인에서 비교할 때의 팁 같은 영상들도 도움이 될 것 같습니다! 화이팅하십시오!,"['댓글', '남기다', '설명', '유용', '영상', '온라인', '비교', '영상', '도움']",1,2
47,좋은정보 감사합니다.헌데 신제품 기준으로 말씀하시는거같아요?신제품과 이전모델제품과 가격차이가 크더라구요.최신모델말고 바로 이전모델 검증된 제품으로 가성비좋게 4~5개 사려는데 어디가 좋을까요?,"['좋다', '정보', '감사', '제품', '기준', '말씀', '제품', '이전', '모델', '제품', '가격', '차이', '크다', '최신', '모델', '말', '이전', '모델', '검증', '제품', '가성비', '좋다', '사다', '좋다']",1,2
48,결론부터 말씀드리면 신제품 여러개 사세요 이전 제품이 할인되는건 단품을 보셨을꺼에요 복수제품을 구매할 때는 신제품들의 마진을 다 소진해서 저렴해지는 것입니다. 근데 이전 제품은 단품으로도 이미 마진을 소비해놓은 상태이기 때문에 다품을 산다고 더 저렴해지지 않습니다.,"['결론', '말씀', '드리다', '제품', '사다', '제품', '할인', '복수', '제품', '구매', '제품', '마진', '소진', '제품', '마진', '소비', '상태', '사다', '저렴하다']",1,2
49,저희부모님이 건조기 사시려고 하는데저희 부모님 한테 알려드려야 겠네요,"['부모', '건조기', '사다', '부모', '알리다']",1,1
50,"안녕하세요 영상보다 궁금한점이 있어 댓글 남깁니다. 스팀과 자동세제투입 두개의 기능이 한번에 없다고 하셨는데, WL21WDU 모델의 경우 두가지 기능이 가능한거 같아서요. 온라인전용모델이라 제외를 하셔서 없다고 하신건지 궁금합니다.","['안녕', '영상', '댓글', '남기다', '스팀', '자동', '세제', '투입', '기능', '모델', '기능', '가능', '온라인', '전용', '모델', '제외', '궁금하다']",1,2
51,"늘 눈으로만 보다가 처음으로 댓글답니다,, LG제품 위주로 다루시다보니 로봇청소기는 잘 모르실줄 알았는데 영상볼때 초반부 목록에 로보킹보고 ""아..로보킹,,,;;"" 했는데 역시 바로 빼셨네요! 진짜 고수이신게 느껴집니다 ㅋㅋ 로청 아직 삼성이나 엘지는 안됩니다 여러분 ㅜㅜ","['댓글', '달다', '제품', '위주', '다루다', '로봇', '청소기', '영상', '초반부', '목록', '로보', '로보', '빼다', '고수', '삼성', '엘지']",1,2
52,제가 말씀드린 모델은 워시타워가 아닌 워시콤보입니다. 워시타워는 말씀하신대로 스팀과 자동세제투입 옵션이 같이 있는 모델도 있습니다.,"['말씀', '드리다', '모델', '워시타워', '워시', '콤보', '워시타워', '말씀', '스팀', '자동', '세제', '투입', '옵션', '모델']",1,2
53,WL21WDU 모델이면 2023년도 모델인거 같습니다 대형마트에서 마지막 250정도에 판매 햇었습니다,"['모델', '모델', '대형', '마트', '마지막', '판매']",1,2
54,로청사야하는데 브랜드 하나만 추천해주십쇼 ㅠㅜ!,"['사다', '브랜드', '추천']",1,2
55,"​ 가성비 : 에코백스 T50 정육각형 ( 모든 기능이 무난, AS무난 현재 인지도 1등 , 대신 가격이 사악 ) : 로보락 s9 SLIM (울트라는 관리가 어려움) 회피력 : 나르왈 프레오 Z 울트라 - 드리미도 좋지만 전 개인적으로 별로라서 뺐어요 (드르륵 이슈에 한번 당해서,,) 이 위에꺼 다 무시하고 제일 중요한건 직배수 모델을 사는겁니다. 전세집도 복구 가능한 리폼이 있으니 꼭 직배수로 사세요","['가성비', '에코', '스다', '육각', '기능', '인지도', '대신', '가격', '사악', '로보', '울트라', '관리', '어려움', '회피', '르', '프레오', '울트라', '드리미', '좋다', '개인', '빼다', '이슈', '당하다', '무시', '중요', '배수', '모델', '사다', '전세', '복구', '가능', '리폼', '배수로', '사다']",1,2
56,-qi9co9sx4e 배송일 지정가능합니다. 제품 생산일정에 따라 특이사항이 발생하는 경우엔 미리 안내드립니다!,"['배송', '지정', '가능', '제품', '생산', '일정', '따르다', '특이', '사항', '발생', '내다', '드리다']",1,2
57,식시세척기 알아보던중 설명을 잘 해주셔서 잘 보고있는데 공구 기대되네요~ 대략 언제쯤 공구 될까요? 궁금합니다~~^^,"['세척', '알아보다', '설명', '공구', '기대', '공구', '궁금하다']",1,2
58,로봇청소기요! 반려동물 배설물 밟고 지나가지 않고 전용세제 필요없는걸로! 직배수 타입인 것 or 아닌 것 옵션 선택해서 구입할 수 있게 해주시면 좋겠어요~~,"['로봇', '청소기', '반려', '동물', '배설물', '밟다', '지나가다', '전용', '세제', '필요', '배수', '타입', '옵션', '선택', '구입', '좋다']",1,4
59,추천해주신 인덕션 구매했는데 기스때문에 인덕션 매트 사용하려고하는데 인덕션 매트에 대해선 어떻게 생각하시나요?,"['추천', '인덕션', '구매', '기스', '인덕션', '매트', '인덕션', '매트', '대하다', '생각']",1,4
60,모델명이 같으면 완전 동일한 공장에서 생산되고 동일한 제품입니다. 그러나 채널별 전용 제품은 다를 수도 있습니다. 이 떄도 보통 생산지는 비슷한데 간혹 일부 모델은 생산지가 다를 수도 있는데 이럴 경우에도 모델명이 다르기 때문에 구분해서 운영하고 있습니다.,"['모델명', '동일', '공장', '생산', '동일', '제품', '채널', '전용', '제품', '다르다', '생산지', '일부', '모델', '생산지', '다르다', '모델명', '다르다', '구분', '운영']",1,2
61,14인용식세기모델명이 넘 많던데..구매해야되는데 추천부탁드립니다..12인용.S상위급보고있었는데.. 14인용이 나왔더라구요 추천해주시는거보고 구매해야되는데..뭐가뭔지? 그리고 모델명 뒤에AKOR이 붙는거랑.안붙는차이도부탁드려요,"['세기', '모델명', '많다', '구매', '추천', '부탁', '드리다', '상위', '나오다', '추천', '구매', '모델명', '붙다', '붙다', '차이', '부탁드리다']",1,2
62,한 브랜드로 사면 삼성은 스마트 띵스 엘지는 띵큐 어플로 가전제품 제어가능해요 저는 전부 삼성으로 했는데 폰으로 제어가능하고 특히 세탁기랑 건조기 끝났을때 폰이랑 티비에 알람 나오는게 좋더라고요 빅스비 지원제품은 말로 제어도가능 해요 에어컨은 퇴근할때 폰으로 미리키면 집가서 시원하게 쉴수있어서 좋음,"['브랜드', '사다', '삼성', '스마트', '띵스', '엘지', '띵큐', '어플', '가전제품', '제어', '가능', '삼성', '제어', '가능', '세탁기', '건조기', '끝나다', '티비', '알람', '나오다', '좋다', '빅스비', '지원', '제품', '제어', '가능', '에어컨', '퇴근', '키', '쉬다', '좋다']",1,2
63,건조기 애프터서비스 불러보니 왜 삼땡을 사는지 알겠더군요,"['건조기', '애프터서비스', '부르다', '사다']",1,1
64,와 완전 리뷰유튜버중 최고네요 엘지 그램보다가 여기와있네요ㅎㅎ 구독하고 갑니다,"['리뷰', '유튜버', '최고', '엘지', '그램', '구독']",1,1
65,이번에 엘지 냉장고 세탁기 건조기 사서 사용하는데 정말 편하고 소음이 적어서 넘좋네요~~냉장고 동그란얼음 냉장고랑 세탁 건조기인데 진짜 소음이 적네요~,"['엘지', '냉장고', '세탁기', '건조기', '사다', '편하다', '소음', '적다', '좋다', '냉장고', '얼음', '냉장고', '세탁', '건조기', '소음', '적다']",1,1
66,"결론 : 1~2개 살거면 삼성, 많이 패키지로 살거면 LG","['결론', '살다', '삼성', '패키지', '살다']",1,3
67,"잇섭님, 혹시 세탁물 틀어짐 현상 없나요? 저는 LG워시타워 쓰고 있는데, 통돌이도 아니고 드럼세탁기인데도 옷통이 돌아갑니다. 상의 하단, 앞뒤판 만나는 곳이 한쪽으로 죄다 돌아가네요. 7세 아이 티셔츠 하단을 보면 약 2센치 가량 돌아갑니다. 성인여성 상의는 한 5센치 정도로 무지하게 돌아가는데.. 다들 좋은 말씀만 하길래, 과연 세탁물 틀어지는 현상은 없는건지 궁금해서요.","['잇섭', '세탁물', '틀어지다', '현상', '워시타워', '쓰다', '통돌이', '드럼', '세탁기', '돌아가다', '상의', '하단', '앞뒤', '만나다', '돌아가다', '아이', '티셔츠', '하단', '가량', '돌아가다', '성인', '여성', '상의', '무지', '돌아가다', '좋다', '말씀', '세탁물', '틀다', '현상']",1,1
68,뜬금없지만 유선 충전기 관련 리뷰는 안해주시나요...! 브랜드더 많고 종류도 많고... 평도 제각각...후엥,"['뜬금없다', '유선', '충전기', '리뷰', '브랜드', '많다', '종류', '많다', '제각각']",1,1
69,마이크로led 이제 주문 받던데 그걸로 견적한번 내보시지... 600만원짜리 냉장고도 준다던데...,"['마이크', '주문', '견적', '내다', '냉장고']",1,1
70,가전 제품 얘기에서는 좀 그렇기도 하고 출시한지 9달 지난폰이긴한데 a31리뷰해주시면 않됄까요?,"['가전', '제품', '얘기', '출시', '지나다', '리뷰', '되다']",1,2
71,아이패드 에어2 배터리 자가수리를 하려고 하는데 4만원 내외로 가성비 좋은 브랜드? 추천 해주세요. 그러고 보니 저희 집도 LG제품이 많네요,"['아이패드', '에어', '배터리', '가다', '수리', '내외', '가성비', '좋다', '브랜드', '추천', '그러다', '제품', '많다']",1,2
72,형 청소기는 다이슨 살거라 안 산거지?,"['청소기', '다이슨', '살다', '사다']",1,1
73,엘지 드럼세탁기에서 카드탑쌓고 몇십시간 돌린거보고 깜짝놀랐습니다... 카드의 흔들림이 없더라구요 광고를 많이 안했지만..,"['엘지', '드럼', '세탁기', '카드', '쌓다', '돌리다', '놀라다', '카드', '흔들리다', '광고']",1,1
74,좀 뜬금 없지만 필립스 SHP9500 헤드셋이 해외에서 많이 좋은 평을 받고 있는데 가능하시다면 리뷰 해보셔도 괜찮을것 같아요! (아마존에서는 현재 73달러),"['뜨다', '필립스', '헤드셋', '해외', '좋다', '가능', '리뷰', '괜찮다', '아마존']",1,1
75,ㅋㅋ 정말 휴대폰 같아요... 피곤하면 그냥 인터넷으로 사시는걸 추천드립니다,"['휴대폰', '피곤', '인터넷', '사다', '추천', '드리다']",1,3
76,진짜 요즘에는 성능이 다들 좋기때문에 디자인 이쁜거 사는게 맞는거 같아요,"['요즘', '성능', '좋다', '디자인', '이쁘다', '사다', '맞다']",1,3
77,"저도 성능은 다들 고만고만해서 크게 상관없었고, 디자인이 1순위였습니다 ㅎㅎ","['성능', '크다', '상관', '디자인', '순위']",1,2
78,SSK형 c to 라이트닝 사제 케이블 추천좀여,"['라이트닝', '사제', '케이블', '추천']",1,4
79,잇섭님 저는 아이폰 XR을 사용하는데 앞 뒤 액정이 다 깨지고 배터리도 충전도 늦게되고 페이스아이디도 안되요 그리고 전원이 꺼지면 충전을 해도 몇십분동안 해야 켜지지만 얼마 안되서 충전중이여도 꺼집니다 어떡해야할까요,"['잇섭', '아이폰', '액정', '깨지다', '배터리', '충전', '늦다', '페이스', '아이디', '전원', '꺼지다', '충전', '동안', '켜다', '얼마', '충전', '꺼지다', '어떡하다']",1,1
