,content,vector,cluster,tokens_final,text_for_tfidf,action_cluster
10,인터넷보다더쌀수가있나 그런건아무리발품팔아도 본적이없는데,"[ 0.0117569   0.02479553 -0.03482056 ... -0.04000854 -0.01771545
  0.00358963]",2,"['인터넷', '싸다', '발품', '팔다']",인터넷 싸다 발품 팔다,0
11,인터넷이 더싼거아님? 오프라인이 유지비나 인건비가 들어가는데 온라인을 가격으로 이길수잇나? 있어도 특가 행사 이런 상품아님?,"[ 0.00653076  0.02191162 -0.02954102 ... -0.03649902 -0.0274353
 -0.00437546]",2,"['인터넷', '싸다', '오프라인', '유지비', '인건비', '들어가다', '온라인', '가격', '이기다', '특가', '행사', '상품']",인터넷 싸다 오프라인 유지비 인건비 들어가다 온라인 가격 이기다 특가 행사 상품,2
12,오프라인 400만원 vs 온라인 300만원 이런건 왜케 차이가 큰가요….? 😢,"[-0.00619888  0.03570557 -0.01507568 ... -0.02679443 -0.02648926
 -0.01307678]",2,"['오프라인', '온라인', '차이', '크다']",오프라인 온라인 차이 크다,0
13,국민혼수 5개 사는데 백화점에서의 견적이 신규 오픈한 5곳 베스트샵보다 싸서 백화점에서 삿던 기억이 있네요 무조건 견적 많이 받으러 다녀보세요,"[ 0.0380249   0.02105713 -0.03164673 ... -0.02030945 -0.04150391
  0.01582336]",2,"['국민', '혼수', '사다', '백화점', '견적', '신규', '오픈', '베스트', '싸다', '백화점', '사다', '기억', '견적', '다니다']",국민 혼수 사다 백화점 견적 신규 오픈 베스트 싸다 백화점 사다 기억 견적 다니다,2
14,한번에 모아살거면 오프라인이 쌉니다... 특히 프리미엄라인은요,"[ 0.00941467  0.01861572 -0.02325439 ... -0.02372742 -0.02378845
  0.0259552 ]",2,"['모으다', '살다', '오프라인', '싸다', '프리미엄', '라인']",모으다 살다 오프라인 싸다 프리미엄 라인,2
15,그럼 우선 근처 백화점 가는게 나을까요? 인터넷 한번 둘러보고 어느정도 가격형성 확인한다음 가면 되겠죠?😢,"[ 0.00207901  0.02110291 -0.03125    ... -0.04162598 -0.02059937
 -0.00241089]",2,"['근처', '백화점', '인터넷', '둘러보다', '가격', '형성', '확인', '다음']",근처 백화점 인터넷 둘러보다 가격 형성 확인 다음,1
16,"우선, 구매하려고하는 품목군이 몇개인지가 중요할 것 같습니다.1~3개 품목이라면 온라인에서 가성비 제품으로 구매해도 좋지만, 다품목 포함되는 4개 이상의 제품이라면 오프라인과 비교해시는게 좋습니다. 온라인과 오프라인은 운영방식이 다르기때문에 카드판촉이 들어가야 혜택 적용이 가능한 부분도 있습니다. 팁을 드리자면 가성비 모델로 먼저 확정해서 상담받지 마시고 (가성비모델을 픽해갈 경우 상담을 적극적으로 안해주는 경우가 많음) 매장에서 추천해주는 품목으로 견적 받아보신 후 하나씩 비교하시면 도움되실겁니다.","[ 0.00134468  0.01399231 -0.04019165 ... -0.03396606 -0.00954437
 -0.01264954]",2,"['구매', '품목', '중요', '품목', '온라인', '가성비', '제품', '구매', '좋다', '품목', '포함', '이상', '제품', '오프라인', '비교', '좋다', '온라인', '오프라인', '운영', '방식', '다르다', '카드', '판촉', '들어가다', '혜택', '적용', '가능', '드리다', '가성비', '모델', '확정', '상담', '가성비', '모델', '상담', '적극', '많다', '매장', '추천', '품목', '견적', '비교', '도움']",구매 품목 중요 품목 온라인 가성비 제품 구매 좋다 품목 포함 이상 제품 오프라인 비교 좋다 온라인 오프라인 운영 방식 다르다 카드 판촉 들어가다 혜택 적용 가능 드리다 가성비 모델 확정 상담 가성비 모델 상담 적극 많다 매장 추천 품목 견적 비교 도움,0
17,요즘 비대면 견적도 있던데ᆢ 가격은 가장 좋던데 제품배송시 문제가 있진 않나요,"[ 0.00109577  0.03158569 -0.02923584 ... -0.03366089 -0.03878784
 -0.00937653]",2,"['요즘', '대면', '견적', '가격', '좋다', '제품', '배송', '문제']",요즘 대면 견적 가격 좋다 제품 배송 문제,2
18,맞는듯..여기저기서 견적 받아봐도 온라인에서 하나씩 다 비교해서 가성비제품 골라 사는거만큼 싸게 살 수가 없음..,"[ 0.01023865  0.03335571 -0.03225708 ... -0.02505493 -0.01916504
 -0.00171375]",2,"['맞다', '여기저기', '견적', '온라인', '비교', '가성비', '제품', '고르다', '사다', '싸다', '사다']",맞다 여기저기 견적 온라인 비교 가성비 제품 고르다 사다 싸다 사다,1
19,전 원하는 모델 다 얘기하니 온라인 최저가 다 적곤 그거 더한 금액에서 DC해주심. 매니저따라 다른듯합니다,"[-9.91058350e-03 -8.28504562e-06 -3.08532715e-02 ... -2.30255127e-02
 -1.66778564e-02  5.43975830e-03]",2,"['원하다', '모델', '얘기', '온라인', '최저', '적다', '금액', '매니저', '따르다', '다르다']",원하다 모델 얘기 온라인 최저 적다 금액 매니저 따르다 다르다,0
20,비대면은 사실 추천드리진않습니다. 무리하게원가격을깎아팔아야해서 사고가터지기마련..,"[ 0.00048208  0.02626038 -0.02926636 ... -0.03137207 -0.01542664
 -0.00132084]",2,"['대면', '추천', '드리다', '무리', '가격', '깎다', '팔다', '사고', '터지다']",대면 추천 드리다 무리 가격 깎다 팔다 사고 터지다,0
21,결국 따지고보면 포인트 안주는 만큼 싼거죠.. 그래서 저도 인터넷 ㅎㅎ,"[-0.01426697  0.00694656 -0.00632858 ... -0.02626038 -0.01591492
 -0.00322342]",2,"['결국', '따지다', '포인트', '싸다', '인터넷']",결국 따지다 포인트 싸다 인터넷,1
22,저두 이거 궁금해요!그래서 항상 온라인에서 구매해요😢,"[-0.00482559  0.01808167 -0.03500366 ... -0.05130005 -0.03140259
 -0.00181961]",2,"['궁금하다', '온라인', '구매']",궁금하다 온라인 구매,1
23,아니 무슨 당연한 질문을? 공홈은 기본가격에 할인까지 감안해서 추가가격이 붙습니다 그게 최종 가격이고. 외부 사이트는 그 할인용 추가 가격을 일부 까서 팝니다. (기본 가격으로 구입 후) 근데 오프라인은? 직원 인건비 있고 임차료 있고. 기타 부대비용까지 또 있죠? 그러니 새로운 추가가격을 더 해서 파는 겁니다. 거기서 특별 프로모션인 척 직원이 자기 몫을 살짝 까기도 하고. 그러니 인터넷이 무조건 이득임,"[ 0.0070076   0.01065826 -0.02542114 ... -0.03500366 -0.03567505
 -0.00082922]",2,"['당연', '질문', '기본', '가격', '할인', '감안', '추가', '가격', '붙다', '최종', '가격', '외부', '사이트', '할인', '추가', '가격', '일부', '까다', '팔다', '기본', '가격', '구입', '오프라인', '직원', '인건비', '임차료', '기타', '부대', '비용', '그러다', '추가', '가격', '파', '특별', '프로모션', '직원', '까다', '인터넷', '이득']",당연 질문 기본 가격 할인 감안 추가 가격 붙다 최종 가격 외부 사이트 할인 추가 가격 일부 까다 팔다 기본 가격 구입 오프라인 직원 인건비 임차료 기타 부대 비용 그러다 추가 가격 파 특별 프로모션 직원 까다 인터넷 이득,0
24,한개만 사면 인터넷이 저렴하죠 뭉텅이로 사야 오프라인이 좋아요,"[-0.01364136  0.04275513 -0.02548218 ... -0.03448486 -0.0279541
  0.01322937]",2,"['사다', '인터넷', '저렴하다', '뭉텅이', '사다', '오프라인', '좋다']",사다 인터넷 저렴하다 뭉텅이 사다 오프라인 좋다,2
25,"우선,전 모델에 채널별 전용모델이 있는 것은 아닙니다.인터넷이 저렴한이유는 매장 운영 시 인건비와 임대료가 발생되기 때문입니다^^","[ 0.02139282  0.02127075 -0.02314758 ... -0.03625488 -0.02049255
  0.0218811 ]",2,"['모델', '채널', '전용', '모델', '인터넷', '이유', '매장', '운영', '인건비', '임대료', '발생']",모델 채널 전용 모델 인터넷 이유 매장 운영 인건비 임대료 발생,2
26,드디어 가전 졸업❤ 손품발품 겁나게 팔고 정리한 10가지 꿀팁입니다ㅋㅋ 여러분들도 꿀팁 알면 댓글로 공유해주세요! 여러분들은 무더운 여름 어떻게 지내고 계시나요? 저는 요즘 신혼집 입주 준비로 정신없는 나날들을 보내고 있어요! 가전 졸업 후 이제는 인터넷TV랑 정수기 어디서 하면 저렴한지 손품 엄청 팔고 있네요ㅋㅋ또 좋은 정보 알게되면 공유할게요!,"[-0.00041461  0.0402832  -0.01132202 ... -0.05337524 -0.02900696
  0.01216125]",2,"['가전', '졸업', '발품', '겁나다', '팔다', '정리', '댓글', '공유', '여름', '지내다', '요즘', '신혼', '입주', '준비', '정신', '없다', '나날', '보내다', '가전', '졸업', '이제', '인터넷', '정수기', '저렴하다', '팔다', '좋다', '정보', '공유']",가전 졸업 발품 겁나다 팔다 정리 댓글 공유 여름 지내다 요즘 신혼 입주 준비 정신 없다 나날 보내다 가전 졸업 이제 인터넷 정수기 저렴하다 팔다 좋다 정보 공유,0
27,오프라인 3.6.9 할인받아서 사는거랑 온라인 견적 차이가 많이 나나요?,"[-0.00017405  0.03268433 -0.03588867 ... -0.0271759  -0.0300293
 -0.0158844 ]",2,"['오프라인', '할인', '사다', '온라인', '견적', '차이']",오프라인 할인 사다 온라인 견적 차이,0
28,3개이니 다품목 할인 되어서 오프라인이 더 저렴할 수도 있을 것 같은데요! 한번 하이마트나 그런곳 가서 상담 받아보세요 ㅎㅎ,"[ 0.01208496  0.0107193  -0.03970337 ... -0.03265381 -0.02127075
  0.01159668]",2,"['품목', '할인', '오프라인', '저렴하다', '하이마트', '상담']",품목 할인 오프라인 저렴하다 하이마트 상담,2
29,온라인에서 구입해 인터넷에서 백만원에 파는걸 백화점에서 2백에 할인해준다고 해서 결과적으로 130만원된다 ㅋ,"[ 0.00135708  0.02606201 -0.03713989 ... -0.03149414 -0.03756714
 -0.0120697 ]",2,"['온라인', '구입', '인터넷', '파', '백화점', '할인', '결과']",온라인 구입 인터넷 파 백화점 할인 결과,2
30,네 맞아요 ㅎㅎ 자잘한건 무조건 온라인이죠 ㅎㅎ,"[-0.00110722  0.02708435 -0.00159454 ... -0.02713013 -0.01716614
  0.00210762]",2,"['맞다', '자잘하다', '온라인']",맞다 자잘하다 온라인,1
31,온라인을 믿어도 될까요? 그게 고민입니다,"[ 0.00025201  0.02384949 -0.03128052 ... -0.03933716 -0.00920868
 -0.02148438]",2,"['온라인', '고민']",온라인 고민,1
32,인터넷이 제일싸요... 장담합니다...,"[ 0.00759888  0.03805542 -0.01332855 ... -0.02781677 -0.03007507
  0.00917053]",2,"['인터넷', '싸다', '장담']",인터넷 싸다 장담,2
33,인터넷이 젤싸긴함 손품팔면 베스트샵 할인보다 더 쌈,"[-0.00369263  0.03057861 -0.02885437 ... -0.03253174 -0.04397583
 -0.00249672]",2,"['인터넷', '싸다', '팔다', '베스트', '할인', '싸다']",인터넷 싸다 팔다 베스트 할인 싸다,2
34,1~2개면 인터넷이 싸지만 그이상은 무조건 발품파는게 쌉니다...장담합니다라는 말은 함부로 쓰는거 아니에요 ㅋㅋ,"[-0.01527405  0.03161621 -0.02201843 ... -0.03936768 -0.0221405
  0.02264404]",2,"['인터넷', '싸다', '이상', '발품', '파', '싸다', '장담', '쓰다']",인터넷 싸다 이상 발품 파 싸다 장담 쓰다,2
35,여러개 사면 발품파는게 싸다고 하던데 ㅇㅇ 신혼부부들,"[-0.00429916  0.03439331 -0.03381348 ... -0.02571106 -0.04055786
  0.0295105 ]",2,"['사다', '발품', '파', '싸다', '신혼', '부부']",사다 발품 파 싸다 신혼 부부,1
36,제가 이틀전에 신혼부부로 맞췄는데 진짜 인터넷보다 싸요..물론4개이상삿구요,"[ 0.0023365   0.02212524 -0.03790283 ... -0.02577209 -0.03726196
  0.00520706]",2,"['이틀', '신혼부부', '맞추다', '인터넷', '싸다', '이상', '사다']",이틀 신혼부부 맞추다 인터넷 싸다 이상 사다,1
37,"온라인구매자인데, 꼼꼼한 설명 도움됐어요, 구독좋아요 ^^","[ 0.00755692  0.01663208 -0.02389526 ... -0.03363037 -0.03729248
 -0.02177429]",2,"['온라인', '구매자', '설명', '도움', '구독', '좋다']",온라인 구매자 설명 도움 구독 좋다,0
38,결국 오프라인 구경 온라인 구매...그것은 진리,"[ 0.00181007  0.0319519  -0.01679993 ... -0.01972961 -0.03445435
 -0.0201416 ]",2,"['결국', '오프라인', '구경', '온라인', '구매', '진리']",결국 오프라인 구경 온라인 구매 진리,1
39,저는 하이마트에 가서 인터넷 가격에 맞춰 달라고 하니까 그 가격에 맞춰 주더라고요,"[ 0.00268555  0.02928162 -0.02062988 ... -0.02893066 -0.03317261
  0.01249695]",2,"['하이마트', '인터넷', '가격', '맞추다', '가격', '맞추다']",하이마트 인터넷 가격 맞추다 가격 맞추다,2
40,혼수구매 예정인데 백화점이 없는 지역에 살아요ㅠㅠ 그럼 로드샵이나 온라인으로 사도 될까요?,"[ 0.0206604   0.02137756 -0.01500702 ... -0.0402832  -0.04296875
  0.00197029]",2,"['혼수', '구매', '예정', '백화점', '지역', '살다', '로드', '온라인', '사다']",혼수 구매 예정 백화점 지역 살다 로드 온라인 사다,1
41,넵넵 로드샵을 보시고 온라인이랑 저울질 해보시는걸 추천드려요!,"[ 0.00960541 -0.00119305 -0.01731873 ... -0.04528809 -0.02006531
  0.00954437]",2,"['넵넵', '로드', '온라인', '저울', '추천', '드리다']",넵넵 로드 온라인 저울 추천 드리다,0
42,3개인데 이사할때도 그냥 온라인에 가서 사는게 낫나요?,"[ 0.00463486  0.03356934 -0.0296936  ... -0.04705811 -0.03317261
 -0.00671768]",2,"['이사', '온라인', '사다']",이사 온라인 사다,1
43,복수구매 해도 온라인이 싸더라구요..혜택이고 뭐고 합쳐도...저는 그랬어요 이번에...그래도 미리 알았다면! 좋았을 정보인고 같습니다! 잘보고 갑니당!,"[ 0.00127029  0.01567078 -0.03475952 ... -0.02825928 -0.03515625
 -0.0002284 ]",2,"['복수', '구매', '온라인', '싸다', '혜택', '합치다', '좋다', '정보']",복수 구매 온라인 싸다 혜택 합치다 좋다 정보,0
44,로드샵 보셨는데 감이 안오시면 온라인은 더 안오실꺼에요 우선 로드샵 돌아보시면서 감을 잡고 그다음에 온라인으로 가시는 것을 추천드려요 4개 정도 구매하면 오프라인이 혜택이 좋을 확률이 높은데 그래도 여전히 온라인이랑 비교를 해보셔야합니다.,"[ 0.00828552  0.00668716 -0.03436279 ... -0.02581787 -0.00457001
  0.00075388]",2,"['로드', '온라인', '로드', '돌아보다', '다음', '온라인', '추천', '드리다', '구매', '오프라인', '혜택', '좋다', '확률', '높다', '온라인', '비교']",로드 온라인 로드 돌아보다 다음 온라인 추천 드리다 구매 오프라인 혜택 좋다 확률 높다 온라인 비교,0
45,궁금한게 매장과 공홈 가격차이심하던데ㅜ그건 왜그런거?,"[ 0.01330566  0.01544189 -0.01701355 ... -0.03781128 -0.03948975
  0.01582336]",2,"['궁금하다', '매장', '가격', '차이', '심하다']",궁금하다 매장 가격 차이 심하다,2
46,"맞아요. 제가 15년 전에 백화점에서 혼수가전 샀는데, 최저가보다 더 저렴했어요. 사은품으로 냄비세트도 받았던 기억이 있네요^^","[ 0.02474976  0.02603149 -0.02793884 ... -0.02894592 -0.0333252
  0.0089035 ]",2,"['맞다', '백화점', '혼수', '가전', '사다', '최저', '저렴하다', '사은품', '냄비', '세트', '기억']",맞다 백화점 혼수 가전 사다 최저 저렴하다 사은품 냄비 세트 기억,2
47,제가 말한 온라인에 홈쇼핑은 포함되지 않습니다 홈쇼핑은 수수료가 너무 높아서 가격 혜택이 높기 힘든 구조입니다,"[ 0.01338959  0.01355743 -0.02186584 ... -0.04083252 -0.04751587
 -0.00907898]",2,"['온라인', '쇼핑', '포함', '쇼핑', '수수료', '높다', '가격', '혜택', '높다', '힘들다', '구조']",온라인 쇼핑 포함 쇼핑 수수료 높다 가격 혜택 높다 힘들다 구조,0
48,온라인은 깡업자의 영리 취득 방법... 오프라인은 고객을 호구로 만들어야하는 전쟁터,"[-0.00317383  0.01921082 -0.02175903 ... -0.03179932 -0.03216553
  0.00228882]",2,"['온라인', '업자', '영리', '취득', '방법', '오프라인', '고객', '호구', '만들다', '전쟁터']",온라인 업자 영리 취득 방법 오프라인 고객 호구 만들다 전쟁터,0
49,오브제 8종 구매했는데요 당시 견적을 여기저기 많이받아봤는데 백화점보다 전자o드가 더 저렴했습니다. 참고하세요~,"[ 0.004879    0.01313782 -0.04644775 ... -0.01438904 -0.02975464
  0.00445938]",2,"['오브제', '구매', '당시', '견적', '여기저기', '백화점', '전자', '참고']",오브제 구매 당시 견적 여기저기 백화점 전자 참고,0
50,인터넷보다 오프라인이 저렴한 경우도 왕왕 있어요.. 조금 위험한 일반화,"[-0.00100613  0.0201416  -0.02674866 ... -0.03671265 -0.01979065
 -0.0059967 ]",2,"['인터넷', '오프라인', '위험', '일반']",인터넷 오프라인 위험 일반,2
51,보통은 홈쇼핑이 무이자 혜택이 좋지 저렴하지는 않아요 !,"[ 6.21080399e-05  2.64892578e-02 -1.79290771e-02 ... -4.79736328e-02
 -8.23974609e-02 -2.23693848e-02]",2,"['보통', '홈', '쇼핑', '이자', '혜택', '좋다', '저렴하다']",보통 홈 쇼핑 이자 혜택 좋다 저렴하다,0
52,당연히 한가지 브랜드로 사는게 유리합니다 동시 구매 품목이 늘어날 때마다 할인폭이 더 커지기 때문입니다!,"[ 0.00399017  0.02593994 -0.03796387 ... -0.02224731 -0.03253174
  0.015625  ]",2,"['브랜드', '사다', '유리', '동시', '구매', '품목', '늘어나다', '할인', '커지다']",브랜드 사다 유리 동시 구매 품목 늘어나다 할인 커지다,2
53,공식홈페이지는 채널에 상관없이 모든 제품이 올라와있습니다! 거기서 비교해보시고 괜찮은 제품을 고르시는게 우선입니다! 그리고 그모델이 인터넷에 있는지 보셔야합니다. 높은 확률로 인터넷이 저렴할 것 입니다,"[-0.00151825  0.00303841 -0.02557373 ... -0.03759766 -0.01928711
  0.01230621]",2,"['공식', '홈페이지', '채널', '제품', '올라오다', '비교', '괜찮다', '제품', '고르다', '우선', '모델', '인터넷', '높다', '확률', '인터넷']",공식 홈페이지 채널 제품 올라오다 비교 괜찮다 제품 고르다 우선 모델 인터넷 높다 확률 인터넷,2
54,조금 있는걸 일반화를 하면 위험하겠지만 대부분은 온라인이 더 저렴하죠,"[ 0.00216484  0.02088928 -0.03013611 ... -0.03198242 -0.02288818
 -0.0022316 ]",2,"['일반', '위험', '부분', '온라인', '저렴하다']",일반 위험 부분 온라인 저렴하다,1
55,진열이 새거 인터넷이랑 가격이 비슷하면 구매할 이유가 없죠,"[ 0.00940704  0.01023865 -0.02981567 ... -0.03089905 -0.03001404
  0.00807953]",2,"['진열', '인터넷', '가격', '구매', '이유']",진열 인터넷 가격 구매 이유,2
56,와.. 정확하세요. 게다가 쿠팡이랑 온라인이 카드 추가할인 들어가면 오프는 다시는 안 가게 되더라구요.,"[ 0.01082611  0.0259552  -0.02616882 ... -0.0222168  -0.03411865
 -0.00362206]",2,"['정확', '쿠팡', '온라인', '카드', '추가', '할인', '들어가다', '오프']",정확 쿠팡 온라인 카드 추가 할인 들어가다 오프,2
57,군인할인은 어떤건가요? 일반 매장에서? 온라인도 가능한가요?,"[ 0.02555847  0.01541138 -0.03659058 ... -0.03421021 -0.05020142
  0.00211334]",2,"['군인', '할인', '일반', '매장', '온라인', '가능']",군인 할인 일반 매장 온라인 가능,2
58,그냥 인터넷 최저가로 사면 되는거 아닌가?,"[-0.00056696  0.01622009 -0.02020264 ... -0.03396606 -0.02998352
  0.00625229]",2,"['인터넷', '최저', '사다']",인터넷 최저 사다,2
59,블프가 수요가 높아 기본적으로 많이 할인을 할테니 급한거 아니면 블프에 온라인에서 구매하는것은 어때요? ㅎㅎ,"[-0.0163269   0.02775574 -0.03936768 ... -0.03591919 -0.03860474
  0.0087204 ]",2,"['블프', '수요', '높다', '기본', '할인', '급하다', '블프', '온라인', '구매']",블프 수요 높다 기본 할인 급하다 블프 온라인 구매,2
60,삼성전자 직원가로사는것보다 인터넷이더싼지도 궁금해요,"[-0.01245117  0.02626038 -0.0333252  ... -0.04483032 -0.0324707
 -0.00761414]",2,"['삼성전자', '직원', '사다', '인터넷', '싸다', '궁금하다']",삼성전자 직원 사다 인터넷 싸다 궁금하다,2
61,100프로는 아니지만 대부분 임직원가가 더싸죠~! 인터넷이 더 싸면 그건 복지가 아니죠 ㅋㅋ,"[-0.00508499  0.01873779 -0.02346802 ... -0.03964233 -0.02076721
  0.01309967]",2,"['부분', '임직원', '싸다', '인터넷', '싸다', '복지']",부분 임직원 싸다 인터넷 싸다 복지,1
62,인터넷이 답인데 인터넷으로 구매하는건 또 어려워서... 다시 결국 매장으로 간다능...,"[ 0.00082493  0.02542114 -0.01951599 ... -0.03063965 -0.03808594
  0.019104  ]",2,"['인터넷', '인터넷', '구매', '결국', '매장']",인터넷 인터넷 구매 결국 매장,2
63,ㅎㅎ 저도 오프라인에서 사는게 좋아요 조금 가격은 있어도 함께 고민해주는 사람이 있어 좋다는 느낌이 좋아요 ㅎㅎ,"[-0.0015955   0.02731323 -0.02716064 ... -0.02888489 -0.02314758
 -0.01226044]",2,"['오프라인', '사다', '좋다', '가격', '고민', '사람', '좋다', '느낌', '좋다']",오프라인 사다 좋다 가격 고민 사람 좋다 느낌 좋다,0
64,혹시 제주도면 혼수제품인데 로드샵 가는 게 좋을까요 ㅠㅠ 백화점이 없어서.. 아님 서울가서 구매하면 배송비가 따로 들지는 않을까요,"[ 0.01013184  0.01256561 -0.03988647 ... -0.04507446 -0.03259277
  0.02627563]",2,"['제주도', '혼수', '제품', '로드', '좋다', '백화점', '서울', '구매', '배송비', '들다']",제주도 혼수 제품 로드 좋다 백화점 서울 구매 배송비 들다,2
65,4군데 견적서 받고 전자랜드에서 바로 경쟁사 대응 추가할인들어감,"[ 0.00455475  0.01853943 -0.00708008 ... -0.03707886 -0.03793335
  0.02056885]",2,"['견적서', '전자랜드', '경쟁사', '대응', '추가', '할인', '들어가다']",견적서 전자랜드 경쟁사 대응 추가 할인 들어가다,2
66,비슷할꺼에요 그러나 홈플은 홈플신한카드가 필요할꺼에요,"[ 0.00188541  0.00850677 -0.03527832 ... -0.03692627 -0.05673218
  0.02116394]",2,"['홈플', '신한카드', '필요']",홈플 신한카드 필요,1
67,온라인에서 싸게 사는 방법이 진짜 정보인데 그게 없군요. 온라인이 얼마나 다양한데...,"[ 0.00461197  0.02766418 -0.03053284 ... -0.03643799 -0.01109314
 -0.0300293 ]",2,"['온라인', '싸다', '사다', '방법', '정보', '온라인', '다양']",온라인 싸다 사다 방법 정보 온라인 다양,0
68,닥치고 인터넷이 제일 쌈.. 적게는 20만원 많게는 50만원 정도 차이 남..,"[-0.00901031  0.02661133 -0.01421356 ... -0.03967285 -0.03445435
  0.01087952]",2,"['닥치다', '인터넷', '싸다', '적다', '많다', '차이']",닥치다 인터넷 싸다 적다 많다 차이,2
69,"매장, 인터넷에서 비교해보니 같은 제품이 100만원정도 싸서 인터넷에서 샀습니당ㅎㅎ 잘샀어요","[ 0.00973511  0.02362061 -0.03845215 ... -0.03585815 -0.03860474
 -0.00235558]",2,"['매장', '인터넷', '비교', '제품', '싸다', '인터넷', '사다', '사다']",매장 인터넷 비교 제품 싸다 인터넷 사다 사다,2
70,저아시는분은 오히려 백화점에서 현금으로사겠다하면서 20~30%할인 성공해서 온라인보다 싸게사시던데 가능한거죠?,"[ 0.00944519  0.03149414 -0.03500366 ... -0.04144287 -0.03668213
 -0.00984955]",2,"['백화점', '현금', '사다', '성공', '온라인', '싸다', '사다', '가능']",백화점 현금 사다 성공 온라인 싸다 사다 가능,2
71,그냥 인터넷에서 사는게 가장 싼거 아닌가요?,"[-0.00364304  0.02705383 -0.02354431 ... -0.0276947  -0.03411865
 -0.00185585]",2,"['인터넷', '사다', '싸다']",인터넷 사다 싸다,2
